sample_id,layout_points,structure,fixture,sequence,design,p_sim_mm,pass_in_model,efficiency_factor,current_factor,voltage_factor,travel_speed_factor,conductivity_factor_q235b,conductivity_factor_qt450_10,alpha_factor_q235b,alpha_factor_qt450_10,young_factor_q235b,young_factor_qt450_10,fixture_stiffness_factor,initial_eccentricity_mm
1,4,baseline,rigid,S1,baseline-rigid-4P-S1,0.065911,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,baseline,rigid,S2,baseline-rigid-4P-S2,0.048788,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,baseline,rigid,S3,baseline-rigid-4P-S3,0.048788,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,baseline,compliant,S1,baseline-compliant-4P-S1,0.058466,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,baseline,compliant,S2,baseline-compliant-4P-S2,0.045265,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,baseline,compliant,S3,baseline-compliant-4P-S3,0.045265,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,rigid,S1,flex-rigid-4P-S1,0.054843,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,rigid,S2,flex-rigid-4P-S2,0.043551,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,rigid,S3,flex-rigid-4P-S3,0.043551,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,compliant,S1,flex-compliant-4P-S1,0.049931,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,compliant,S2,flex-compliant-4P-S2,0.041225,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,4,flex,compliant,S3,flex-compliant-4P-S3,0.041225,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,rigid,S1,baseline-rigid-6P-S1,0.071464,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,rigid,S2,baseline-rigid-6P-S2,0.044222,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,rigid,S3,baseline-rigid-6P-S3,0.044222,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,compliant,S1,baseline-compliant-6P-S1,0.062286,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,compliant,S2,baseline-compliant-6P-S2,0.04163,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,baseline,compliant,S3,baseline-compliant-6P-S3,0.04163,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,rigid,S1,flex-rigid-6P-S1,0.05787,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,rigid,S2,flex-rigid-6P-S2,0.040386,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,rigid,S3,flex-rigid-6P-S3,0.040386,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,compliant,S1,flex-compliant-6P-S1,0.051957,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,compliant,S2,flex-compliant-6P-S2,0.038717,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,6,flex,compliant,S3,flex-compliant-6P-S3,0.038717,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,rigid,S1,baseline-rigid-8P-S1,0.079543,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,rigid,S2,baseline-rigid-8P-S2,0.04225,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,rigid,S3,baseline-rigid-8P-S3,0.04225,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,compliant,S1,baseline-compliant-8P-S1,0.068083,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,compliant,S2,baseline-compliant-8P-S2,0.040064,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,baseline,compliant,S3,baseline-compliant-8P-S3,0.040064,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,flex,rigid,S1,flex-rigid-8P-S1,0.06259,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,flex,rigid,S2,flex-rigid-8P-S2,0.039025,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,flex,rigid,S3,flex-rigid-8P-S3,0.039025,True,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
1,8,flex,compliant,S1,flex-compliant-8P-S1,0.055275,False,1.0845927061572003,1.025115717920345,0.9364004586542045,1.0903747491150781,1.0638425206023083,1.0040754033494947,1.0086765926823058,1.039605962680679,0.9711995151364662,1.0203492743516231,1.0635669602572027,-0.01655622342888871
