filename,dx_error_mm,dy_error_mm,theta_error_deg,quality_accepted,quality_confidence,quality_failed_checks
sample_0000.png,0.0002848307291667407,0.0017090241114299243,-0.00028535149742392463,True,0.9941350939025726,
sample_0001.png,-0.0005086263020833703,-0.00014240543047588927,0.0012558363631685054,True,0.9941290980936771,
sample_0002.png,0.00046284993489587034,-0.000396728515625,0.0010630111399327902,True,0.994111110666991,
sample_0003.png,-0.001556406418482481,-0.0020192861557006836,0.002987066284116935,True,0.9941171064758862,
sample_0004.png,0.001871784528096443,0.0006103912989299243,-3.7605414996525734e-05,True,0.9941231022847817,
sample_0005.png,-0.00029499332110088927,-0.0012410481770833333,0.0023659845339878416,True,0.9941171064758862,
sample_0006.png,-0.001052866379419981,0.002105732758839962,-0.003954214132995126,True,0.994111110666991,
sample_0007.png,-0.00029500325520837034,-0.0025939544041950757,0.0038930545399762373,True,0.9941231022847817,
sample_0008.png,0.0007018943627675189,-0.0007731119791666666,0.0009571743350370587,True,0.994111110666991,
sample_0009.png,0.001892079909642519,-0.00028481086095177854,0.0010636748892869363,True,0.9941171064758862,
sample_0010.png,-0.00028993686040246214,-0.0008494158585866107,0.001342481358908021,True,0.9941350939025726,
sample_0011.png,-0.0003305673599243164,-0.00045267740885412966,-0.00044366649722160645,True,0.9941290980936771,
sample_0012.png,-0.0004984537760416297,-0.0010783076286315918,0.0025074817098675872,True,0.9941231022847817,
sample_0013.png,-0.001749714215596443,0.0007527669270833703,-0.0010061806834933407,True,0.9941231022847817,
sample_0014.png,0.0001068115234375,-0.0009155472119649621,0.0014783002532379186,True,0.9941231022847817,
sample_0015.png,-0.0005950927734375,0.0009612639745075757,-0.00016524102023129927,True,0.9941231022847817,
sample_0016.png,0.0011291901270549243,0.0007120867570241107,0.0011167420188940014,True,0.9933393523553461,
sample_0017.png,0.0002949635187785571,-0.0004068911075592041,0.0004737083612340598,True,0.9941171064758862,
sample_0018.png,0.0031483868757883893,6.61015510559082e-05,0.0016052203981620217,True,0.9941171064758862,
sample_0019.png,0.001922607421875,-0.0005595286687214429,0.0008496324891282825,True,0.9941350939025726,
sample_0020.png,-0.0006001889705657959,-0.0006459355354309082,0.0007022626886392658,True,0.9941171064758862,
sample_0021.png,0.00013224283854174068,-0.00019325812657677854,0.0003268959979658703,True,0.9941051148580955,
sample_0022.png,-0.0006917417049407959,4.5736630757575725e-05,6.0986796258433174e-05,True,0.9941290980936771,
sample_0023.png,-0.0013071298599243164,-0.0014750162760417407,0.003362779379006753,True,0.9941231022847817,
sample_0024.png,-0.00046284000078838927,-0.001144419113794981,-7.027906204015721e-05,True,0.9941171064758862,
sample_0025.png,-0.0007578134536743164,0.0005188186963399621,-0.0019539091519238383,True,0.9940991190492001,
sample_0026.png,-0.001302093267440796,-0.00034584601720177854,0.0007911841362067129,True,0.9941051148580955,
sample_0027.png,0.002929667631785038,-0.0013325810432434082,0.0046770560383593285,True,0.9940931232403045,
sample_0028.png,0.00016788641611742428,0.0007781585057575757,0.0010937198053564412,True,0.9941290980936771,
sample_0029.png,-0.0004221200942993164,0.0001627802848815918,-0.0004175922412512634,True,0.9941290980936771,
sample_0030.png,0.0014699697494506836,-0.0005696415901184082,0.0019383191858413085,True,0.994111110666991,
sample_0031.png,-1.0162591934204102e-05,-0.00045774380366003786,0.0020321183021021483,True,0.9941231022847817,
sample_0032.png,0.001408855120341057,-7.120768229162966e-05,-5.4964077705221825e-05,True,0.9941231022847817,
sample_0033.png,-9.156266848248107e-05,-0.0007069508234660571,0.0014292369018251705,True,0.9941350939025726,
sample_0034.png,-0.0017191569010416297,-0.0001118779182434082,0.0015238765034251145,True,0.994111110666991,
sample_0035.png,0.0007426043351491107,0.00079345703125,-0.0012128821477839224,True,0.994111110666991,
sample_0036.png,0.0028228759765625,-0.0003458658854166667,-0.00026665445687434897,True,0.9941171064758862,
sample_0037.png,-0.003672321637471443,-0.00020344058672588927,0.0008041631450201869,True,0.994111110666991,
sample_0038.png,0.0007680157820383893,0.00014241536458333334,0.0007983293181821338,True,0.994111110666991,
sample_0039.png,-0.0017191569010417407,-0.0028635660807291665,0.00377831077007329,True,0.994111110666991,
sample_0040.png,0.001185139020283943,0.00039670864741003786,-0.0017340685525559785,True,0.9941231022847817,
sample_0041.png,-0.0005187590916950757,6.103515625e-05,0.0016072382187237721,True,0.9941410897114679,
sample_0042.png,0.0017293492952982215,0.0016988317171732215,-0.003591301806257361,True,0.994111110666991,
sample_0043.png,-0.0003255009651184082,0.0005340178807575757,-0.0005355917633975693,True,0.9941231022847817,
sample_0044.png,0.0016479094823200757,-0.0007730921109517785,0.002218693999943676,True,0.994111110666991,
sample_0045.png,-0.0010986129442850379,-0.00032551089922588927,0.0009930311235626377,True,0.9941231022847817,
sample_0046.png,-0.0003407597541809082,-0.0009664098421732215,0.0009526435023934354,True,0.994111110666991,
sample_0047.png,0.0001373291015625,0.0002695719401042407,1.1375326731233315e-05,True,0.994111110666991,
sample_0048.png,-0.0006764332453410571,0.0015055338541667407,-0.003571480156985274,True,0.9941290980936771,
sample_0049.png,-0.0013224482536315918,-0.00018310546875,-0.00026930188406604216,True,0.9941171064758862,
sample_0050.png,0.0002594391504924243,0.0007324318091074811,-0.001316086084870797,True,0.9940991190492001,
sample_0051.png,0.001810699701309204,0.0009104410807292407,-0.0010572691843568904,True,0.9941231022847817,
sample_0052.png,-8.647640546161073e-05,0.001225799322128296,-0.002399178989538453,True,0.994111110666991,
sample_0053.png,-0.0008290211359660571,2.5411446889278544e-05,-0.00013699903552399917,True,0.9941171064758862,
sample_0054.png,-0.001983622709910038,0.002131134271621704,-0.003803411579514915,True,0.9941290980936771,
sample_0055.png,-0.002614319324493408,-0.0008494456609089429,0.002020967404273451,True,0.9941350939025726,
sample_0056.png,-0.0017547607421875,-0.0004984537760416666,-6.688217892003578e-05,True,0.9941350939025726,
sample_0057.png,0.0020039876302082593,0.0018056233723958333,-0.00352439878624633,True,0.994111110666991,
sample_0058.png,0.0007375081380208703,-0.0007375081380208703,0.001196098516954791,True,0.9941051148580955,
sample_0059.png,0.0007120768229167407,0.0010629892349243164,-0.0017408268445402442,True,0.9941350939025726,
sample_0060.png,0.001169880231221443,0.0029347638289133893,-0.003778720806927538,True,0.9941171064758862,
sample_0061.png,0.0004475712776184082,0.0002848207950592041,-0.0012904582369537287,True,0.9941231022847817,
sample_0062.png,-0.0005086263020832593,0.0005391041437785571,-0.0013779551789330213,True,0.9941231022847817,
sample_0063.png,-0.0013326009114582593,-0.0019073883692424243,0.0009287237623070155,True,0.9933453435637174,
sample_0064.png,-0.0015767812728881836,0.0002492268880207593,0.0009306121671974131,True,0.9941290980936771,
sample_0065.png,0.0016225377718607215,-0.001047809918721443,0.0024266746775083448,True,0.9941350939025726,
sample_0066.png,0.002400726079940796,0.0005594889322916666,-0.0010675541107518782,True,0.994111110666991,
sample_0067.png,-4.0690104166666664e-05,-0.001887043317158943,0.003349211648840722,True,0.9941171064758862,
sample_0068.png,5.5909156799316406e-05,-0.0015513201554616107,0.002312716226355871,True,0.9941231022847817,
sample_0069.png,0.0010579327742258893,0.0008849700291950757,-0.001526236969789263,True,0.9941051148580955,
sample_0070.png,-0.0010579228401184082,0.0007324616114299243,-0.0023447741718749526,True,0.9941051148580955,
sample_0071.png,0.0006154378255208703,-0.0001627504825592041,0.0005708049989783248,True,0.9941231022847817,
sample_0072.png,-0.0013326009114582593,-0.0002492368221282959,8.460546463542254e-05,True,0.9941410897114679,
sample_0073.png,-0.0012817581494649621,0.0009256998697916666,-0.0004430480282211491,True,0.9941171064758862,
sample_0074.png,0.0015462239583333333,0.0023295084635416665,-0.003296498753011079,True,0.9941171064758862,
sample_0075.png,0.0002695620059967041,0.002299010753631592,-0.0024479248560957956,True,0.9941171064758862,
sample_0076.png,-0.0006866455078125,0.0019022623697916667,-0.0026246866003365454,True,0.9941231022847817,
sample_0077.png,-0.0021464029947916665,0.0005696614583333703,2.2832259662486365e-05,True,0.9941231022847817,
sample_0078.png,-0.0013834734757741107,-0.0013427734375,0.0022016815951877433,True,0.9941051148580955,
sample_0079.png,-0.0009307861328125,-0.0001729130744934082,0.0009391634148903094,True,0.9933393523553461,
sample_0080.png,0.001022328933080019,-0.0010630091031392785,0.00021359120650532581,True,0.9941231022847817,
sample_0081.png,0.0005086263020833334,-0.0010732014973957593,-0.001428687844696519,True,0.9933573259804599,
sample_0082.png,0.0009918212890625,-5.5948893229166664e-05,-0.0005582166344897388,True,0.994111110666991,
sample_0083.png,-0.0011088252067565918,-0.0023600260416667407,0.005311230500004704,True,0.994111110666991,
sample_0084.png,0.0005594889322916297,0.001302093267440796,-0.0019200699835986157,True,0.994111110666991,
sample_0085.png,0.0004628896713256836,-6.102522214251893e-05,0.0002977293522201663,True,0.9941231022847817,
sample_0086.png,-4.0650367736816406e-05,0.0011902252833049243,-0.001678269003011934,True,0.9941231022847817,
sample_0087.png,-0.0004984438419342041,0.0002339482307434082,-0.0005079143425987809,True,0.9941051148580955,
sample_0088.png,-0.001007080078125,0.0014851888020832593,-0.001471524218220388,True,0.9941231022847817,
sample_0089.png,0.002365132172902462,-0.0008086959520975379,0.0010153275456458765,True,0.9941171064758862,
sample_0090.png,-0.0020395914713542407,-0.0006459752718607215,0.0007050188180084495,True,0.9941171064758862,
sample_0091.png,-0.0005747477213541297,0.00091552734375,-0.00031319061559464956,True,0.9941231022847817,
sample_0092.png,0.0001576840877532959,0.0003458559513092041,-0.0005516424121247976,True,0.9941231022847817,
sample_0093.png,-0.0001017153263092041,-0.0005187590916950757,0.0010716495259452587,True,0.994111110666991,
sample_0094.png,0.0015767415364583703,-0.001037607590357481,0.0006324695546275905,True,0.9941171064758862,
sample_0095.png,-0.00019835432370501893,0.0016937454541524621,-0.003267156433463869,True,0.994111110666991,
sample_0096.png,-0.0001220703125,-0.00036112467447912966,-0.00016088774516820337,True,0.994111110666991,
sample_0097.png,0.0015564163525899621,-0.001591960589091057,0.0018736257499698539,True,0.994111110666991,
sample_0098.png,-0.0005696614583333703,-0.0019175211588542407,0.0014404532661362879,True,0.9941231022847817,
sample_0099.png,-6.107489267992428e-05,-0.00286865234375,0.006016561294365452,True,0.9941171064758862,
