candidate,source,minimum_mm,maximum_mm,maximum_c_m_span_mm
Continuous,fvm,2.292806029654803e-05,0.0099450407431608,0.0001133087944685
Continuous,elmer,2.3577908250034797e-05,0.009936062399123,0.00010520355664499909
6P-FAIR_B,fvm,1.9005643509888305e-05,0.0096467070353191,0.00011761297443880006
6P-FAIR_B,elmer,1.3238297281554495e-05,0.0096293464981157,0.0001285887396417001
8P-FAIR_B,fvm,1.4317694541572586e-05,0.0095908489505759,0.00015972541568590008
8P-FAIR_B,elmer,1.2540423839183665e-05,0.0095834185072158,0.00016795273518449994
