thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
fvm,high_expansion_low_yield,hemisphere_90,10000.0,Continuous,6P-FAIR_B,0.0009923246879625994,0.0011046718448806002,0
fvm,high_expansion_low_yield,hemisphere_90,1000000.0,Continuous,6P-FAIR_B,-0.0015768821472992994,0.0011314473218164006,-1
fvm,high_expansion_low_yield,uniform_full,10000.0,Continuous,6P-FAIR_B,-4.4603922813643764e-05,0.001041395203012075,0
fvm,high_expansion_low_yield,uniform_full,1000000.0,Continuous,6P-FAIR_B,-5.0338308445614954e-05,0.001034016488915724,0
fvm,high_expansion_low_yield,uniform_half,10000.0,Continuous,6P-FAIR_B,1.6039200319658786e-05,0.00102060121769339,0
fvm,high_expansion_low_yield,uniform_half,1000000.0,Continuous,6P-FAIR_B,3.292629551300334e-06,0.0010369882979691686,0
fvm,low_expansion_high_yield,hemisphere_0,10000.0,Continuous,6P-FAIR_B,-9.071756687210018e-05,0.0011048228248658,0
fvm,low_expansion_high_yield,hemisphere_0,1000000.0,Continuous,6P-FAIR_B,-0.0006632200322719999,0.0010254798450725,0
fvm,low_expansion_high_yield,hemisphere_30,10000.0,Continuous,6P-FAIR_B,-2.3452180575300133e-05,0.0010828957597622002,0
fvm,low_expansion_high_yield,hemisphere_30,1000000.0,Continuous,6P-FAIR_B,-0.0007219528523775001,0.0010192193191253,0
fvm,low_expansion_high_yield,hemisphere_60,10000.0,Continuous,6P-FAIR_B,-0.0001126970353764003,0.0011125534361551004,0
fvm,low_expansion_high_yield,hemisphere_60,1000000.0,Continuous,6P-FAIR_B,-0.0006887502893598999,0.0010616332084511001,0
fvm,low_expansion_high_yield,hemisphere_90,10000.0,Continuous,6P-FAIR_B,1.0785025813900197e-05,0.0011451659576810999,0
fvm,low_expansion_high_yield,hemisphere_90,1000000.0,Continuous,6P-FAIR_B,-0.0007020988838588999,0.0011057702870721,0
fvm,low_expansion_high_yield,uniform_full,10000.0,Continuous,6P-FAIR_B,3.566194477252579e-05,0.0010320184301500545,0
fvm,low_expansion_high_yield,uniform_full,1000000.0,Continuous,6P-FAIR_B,1.7509352657243263e-05,0.001051785560070208,0
fvm,low_expansion_high_yield,uniform_half,10000.0,Continuous,6P-FAIR_B,2.7775455918075534e-05,0.0010494511923850192,0
fvm,low_expansion_high_yield,uniform_half,1000000.0,Continuous,6P-FAIR_B,1.6853357686993274e-05,0.001052231901835577,0
fvm,nominal,hemisphere_0,10000.0,Continuous,6P-FAIR_B,-0.00023435973630240008,0.0011492374369105988,0
fvm,nominal,hemisphere_0,1000000.0,Continuous,6P-FAIR_B,-0.0011819201933286,0.0010817843735302997,-1
fvm,nominal,hemisphere_30,10000.0,Continuous,6P-FAIR_B,1.4865611668996026e-06,0.0011041693786392002,0
fvm,nominal,hemisphere_30,1000000.0,Continuous,6P-FAIR_B,-0.0012261048360726,0.0010699520399477004,-1
fvm,nominal,hemisphere_60,10000.0,Continuous,6P-FAIR_B,-0.0002216472657856003,0.0011600566437641006,0
fvm,nominal,hemisphere_60,1000000.0,Continuous,6P-FAIR_B,-0.0011832921311017998,0.0010523857656806,-1
fvm,nominal,hemisphere_90,10000.0,Continuous,6P-FAIR_B,1.9900780396700166e-05,0.0012309217689073,0
fvm,nominal,hemisphere_90,1000000.0,Continuous,6P-FAIR_B,-0.0012425347113072995,0.0011522106665329,-1
fvm,nominal,uniform_full,10000.0,Continuous,6P-FAIR_B,2.5156121759287156e-05,0.001060667577851992,0
fvm,nominal,uniform_full,1000000.0,Continuous,6P-FAIR_B,1.649232335637007e-05,0.0010773275006431102,0
fvm,nominal,uniform_half,10000.0,Continuous,6P-FAIR_B,2.49989141207441e-05,0.0010628005836625521,0
fvm,nominal,uniform_half,1000000.0,Continuous,6P-FAIR_B,1.104276198295679e-05,0.0010729401461861876,0
elmer,high_expansion_low_yield,hemisphere_0,10000.0,Continuous,8P-FAIR_B,0.0006729685261367014,0.0011825927335186994,0
elmer,high_expansion_low_yield,hemisphere_0,1000000.0,Continuous,8P-FAIR_B,-0.0017269898608576993,0.0012180696805795003,-1
elmer,high_expansion_low_yield,hemisphere_30,10000.0,Continuous,8P-FAIR_B,0.00034569670316580113,0.0010850528494520005,0
elmer,high_expansion_low_yield,hemisphere_30,1000000.0,Continuous,8P-FAIR_B,-0.0016803714876960996,0.0011297510477672008,-1
elmer,high_expansion_low_yield,hemisphere_60,10000.0,Continuous,8P-FAIR_B,0.00032943378606830123,0.0010391247072480984,0
