0.1 149.933527467961 149.926934322415 149.956482675552 149.95999423561 149.977090737878
0.2 149.880170656351 149.872970875271 149.912105183728 149.923912988051 149.949348349312
0.3 149.836989628904 149.827824133276 149.871949366614 149.891001597083 149.920781031543
0.4 149.799712227311 149.788519202419 149.835630908711 149.860093072679 149.89229859087
0.5 149.765993469872 149.753213304112 149.802292713156 149.830446802519 149.864093086286
0.6 149.734574001191 149.720708713601 149.771228692135 149.80164559397 149.836184927403
0.7 149.704737602469 149.690227523882 149.741916262624 149.773450800421 149.80855285477
0.8 149.67605019794 149.661255281758 149.71397465093 149.745717888485 149.781167728476
0.9 149.648233287828 149.633442132688 149.687124500513 149.718353698276 149.754002270646
1 149.621099572518 149.606543121036 149.661158209885 149.691295265668 149.727034032872
1.1 149.594518543116 149.580382327769 149.635919557237 149.664499102508 149.700246233449
1.2 149.568397227467 149.554831037683 149.611289932631 149.63793554947 149.673627904558
1.3 149.542668956575 149.529794158199 149.58717900963 149.611585666312 149.647173849801
1.4 149.51728655658 149.505201557182 149.563518351894 149.585439453523 149.620884590759
1.5 149.492218079309 149.481002391853 149.540256962893 149.559494810572 149.594766357663
1.6 149.467444041902 149.457161298359 149.517358135127 149.533756920975 149.568831129903
1.7 149.442955592378 149.433655766401 149.49479718065 149.508237892013 149.543096713838
1.8 149.4187532589 149.410474286345 149.472559768543 149.482956547397 149.517586840732
1.9 149.394846074912 149.387615010728 149.450640686515 149.457938309645 149.492331268788
2 149.371250950054 149.365084764846 149.429042902763 149.433215131642 149.467365876529
2.1 149.347992203282 149.342898298004 149.407776842685 149.408825451055 149.442732738391
2.2 149.325101203267 149.321077702717 149.386859820569 149.384814150488 149.418480176624
2.3 149.302616079343 149.299651952115 149.366315583616 149.361232512419 149.394662786099
2.4 149.280581478012 149.278656520849 149.346173937547 149.338138162062 149.371341430468
2.5 149.259048347839 149.258133064892 149.326470431269 149.315594993987 149.348583209321
2.6 149.238073740738 149.238129142506 149.307246083972 149.293673080158 149.326461396815
2.7 149.217720621277 149.218697963481 149.288547142279 149.272448558214 149.305055352679
2.8 149.198057678264 149.199898157297 149.270424858268 149.252003499828 149.284450407074
2.9 149.179159135158 149.181793553899 149.252935282027 149.232425760206 149.26473772162
3 149.161104557956 149.164452973281 149.236139064737 149.213808811147 149.24601413011
3.1 149.143978661192 149.147950022461 149.220101270539 149.196251561559 149.228381963692
3.2 149.127871114183 149.132362900117 149.204891197012 149.179858170323 149.211948866218
3.3 149.112876350471 149.117774210178 149.190582205078 149.164737856719 149.196827605571
3.4 149.099093383489 149.104270785917 149.177251559447 149.151004713144 149.183135886213
3.5 149.08662563086 149.091943525737 149.164980280421 149.138777523662 149.170996166794
3.6 149.075580748625 149.080887240948 149.153853007127 149.128179590331 149.160535484952
3.7 149.066070475365 149.071200514845 149.143957871425 149.119338567517 149.151885289587
3.8 149.058210484927 149.062985571345 149.135386380799 149.112386302854 149.145181279239
3.9 149.052120245434 149.056348150696 149.12823330796 149.107458682351 149.140563244055
4 149.047922881641 149.051397389304 149.122596584433 149.104695476486 149.138174908097
4.1 149.045745038006 149.048245701135 149.118577195875 149.104240184661 149.138163769379
4.2 149.045716741733 149.047008660115 149.116279078634 149.106239877889 149.140680937635
4.3 149.047971268391 149.047804886083 149.115809019941 149.110845043485 149.145880973822
4.4 149.052645015147 149.0507559391 149.117276566244 149.118209438432 149.153921738579
4.5 149.059877389087 149.055986228881 149.120793945773 149.128489960116 149.164964258575
4.6 149.069810716916 149.063622944858 149.126476010336 149.141846541491 149.179172618179
4.7 149.082590180146 149.073796010155 149.134440199178 149.158442074715 149.196713880475
4.8 149.098363776142 149.086638059258 149.144806524565 149.178442362833 149.217758037018
4.9 149.117282301493 149.102284435682 149.157697575582 149.202016094632 149.24247798107
5 149.139499350882 149.120873203058 149.173238534065 149.229334834313 149.271049495507
5.1 149.165171322492 149.142545161309 149.191557195061 149.260573015502 149.30365124449
5.2 149.194457420262 149.167443859124 149.212783983822 149.295907928712 149.340464757634
5.3 149.227519643838 149.19571559454 149.237051961959 149.335519692287 149.381674396502
5.4 149.264522759738 149.22750939815 149.264496817852 149.379591200331 149.427467296844
5.5 149.305634256512 149.262977002839 149.295256845181 149.428308052759 149.47803329215
5.6 149.35102429952 149.302272816114 149.329472924642 149.481858486992 149.533564838806
5.7 149.400865707514 149.345553916647 149.367288529221 149.540433337433 149.594256970311
5.8 149.455333973581 149.3929800956 149.408849771833 149.604226046891 149.660307305424
5.9 149.514607343496 149.444713953318 149.454305504775 149.67343274231 149.73191612285
6 149.578866951395 149.500921049249 149.503807468454 149.748252372027 149.809286499193
6.1 149.648296999805 149.561770091026 149.557510475822 149.828886887767 149.892624492317
6.2 149.723084961509 149.627433140503 149.615572611599 149.915541444914 149.982139342411
6.3 149.803421776233 149.698085811234 149.678155422569 150.008424590741 150.078043659225
6.4 149.889502015647 149.77390743315 149.745424076664 150.107748411851 150.180553565916
6.5 149.981523994592 149.855081164973 149.817547473113 150.213728617756 150.289888775984
6.6 150.079689813375 149.941794041556 149.894698292195 150.326584545555 150.406272588214
6.7 150.184205323728 150.034236950641 149.977052979841 150.446539079343 150.529931793548
6.8 150.295280052594 150.13260457753 150.064791703565 150.573818528865 150.661096539677
6.9 150.413127162873 150.237095398701 150.158098356117 150.708652558803 150.800000246952
7 150.537963530274 150.347911801271 150.257160680605 150.851274255357 150.946879666178
7.1 150.670009992717 150.465260375195 150.362170559182 151.001920380813 151.101975129226
7.2 150.809491765409 150.589352363614 150.473324451161 151.160831801558 151.265530978409
7.3 150.956638973749 150.720404216722 150.590823926716 151.328254029977 151.437796112109
7.4 151.111687224497 150.858638168124 150.714876218567 151.504437791689 151.619024554794
7.5 151.27487812904 151.00428275056 150.845694712908 151.689639526137 151.809475956243
7.6 151.446459704065 151.157573182538 150.983499315599 151.884121743516 152.009415940765
