time_s,H_q235_j,H_qt_j,H_weld_j,source_q235_j,source_qt_j,source_weld_j,loss_q235_j,loss_qt_j,loss_weld_j,birth_q235_j,birth_qt_j,birth_weld_j,weld_to_qt_j,weld_to_q235_j,mix_q235_j,mix_qt_j,mix_weld_j
18,13051.2745705726,31331.5873161034,135.7222711256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1,13073.5748470273,31350.663490135,135.939267331081,5.66542509727523,6.6840704821894,37.1505044205354,3.30695300510666,3.8364403183926,0.763159983500117,0,0,0,16.2285438682398,19.9418043631843,0,0,0
18.2,13095.8458894219,31369.7570536704,136.155320789012,5.66542509716257,6.68407048208585,37.1505044207516,3.31595978987028,3.83999156868478,0.763389252471255,0,0,0,16.2494846225216,19.9215770877009,0,0,0
18.3,13118.087190896,31388.8674944774,136.370257310041,5.66542509707439,6.6840704820048,37.1505044209208,3.32497203592746,3.84358866888474,0.764760491686713,0,0,0,16.2699589944436,19.9008484136352,0,0,0
18.4,13140.2982009354,31407.9942821675,136.58395701244,5.66542509700545,6.68407048194144,37.1505044210531,3.33399212728581,3.84723626224468,0.767274177652219,0,0,0,16.2899534706884,19.8795770701912,0,0,0
18.5,13162.4783470881,31427.1368847806,136.796340938354,5.66542509695165,6.68407048189199,37.1505044211564,3.34302176408464,3.85093652464357,0.77090901836079,0,0,0,16.3094686564124,19.8577428203488,0,0,0
18.6,13184.6270510576,31446.2947803691,137.00736199187,5.66542509690971,6.68407048185344,37.1505044212368,3.3520620961045,3.85468979133657,0.775627499791196,0,0,0,16.328514898554,19.8353409692584,0,0,0
18.7,13206.7437409845,31465.4674653328,137.216998459065,5.66542509687705,6.68407048182342,37.1505044212995,3.3611138202119,3.85849499807659,0.781379822790188,0,0,0,16.3471094804905,19.8123786507082,0,0,0
18.8,13228.827860957,31484.6544604815,137.425249100621,5.66542509685167,6.68407048180009,37.1505044213482,3.37017725513441,3.86235000330115,0.788106977901708,0,0,0,16.3652746704728,19.788872131296,0,0,0
18.9,13250.8810914413,31503.8574407904,137.635587161603,5.66542509683196,6.68407048178198,37.150504421386,3.37918298212147,3.86608522044535,0.788182942326387,0,0,0,16.3849950479079,19.7669883700456,0,0,0
19,13272.905059863,31523.0779074859,137.848147135903,5.66542509681668,6.68407048176793,37.1505044214154,3.38813623955438,3.86968910043152,0.785179567202174,0,0,0,16.4060853148187,19.7466795649722,0,0,0
19.1,13294.9006582093,31542.3165657585,138.061946737523,5.66542509680484,6.68407048175705,37.1505044214381,3.39705510068273,3.87321030204867,0.78167837572135,0,0,0,16.4277980932716,19.7272283507034,0,0,0
19.2,13316.8682188773,31561.5735675276,138.276159821579,5.66542509679569,6.68407048174865,37.1505044214557,3.40595265826147,3.87669467974138,0.778577139670076,0,0,0,16.4496259675564,19.7080882300531,0,0,0
19.3,13338.8077150566,31580.8487416738,138.490200488503,5.66542509678862,6.68407048174215,37.1505044214692,3.41483836405148,3.88017583078333,0.776274811563033,0,0,0,16.4712794958002,19.6889094470633,0,0,0
19.4,13360.7188953238,31600.1417347342,138.703662566105,5.66542509678318,6.68407048173714,37.1505044214797,3.42371905771213,3.88367653093756,0.774969005026102,0,0,0,16.4925991100114,19.6694742287231,0,0,0
19.5,13382.6013673437,31619.4520915058,138.916262881631,5.66542509677898,6.68407048173329,37.1505044214877,3.43259974387509,3.88721174603085,0.774759401977833,0,0,0,16.5134980363387,19.6496466675305,0,0,0
19.6,13404.4546507415,31638.77930225,139.127803101266,5.66542509677575,6.68407048173032,37.1505044214939,3.44148411652521,3.89079100881726,0.77569051182475,0,0,0,16.5339312718358,19.6293424180852,0,0,0
19.7,13426.2782120771,31658.1228317986,139.338145496104,5.66542509677327,6.68407048172804,37.1505044214987,3.45037489889951,3.89442002952035,0.77777179144293,0,0,0,16.5538790968388,19.6085111382689,0,0,0
19.8,13448.0714892312,31677.4821385707,139.547197401647,5.66542509677137,6.6840704817263,37.1505044215024,3.45927406619643,3.89810176120117,0.78098833999432,0,0,0,16.573338051828,19.5871261240279,0,0,0
19.9,13469.8339092237,31696.8566876491,139.754900870679,5.66542509676992,6.68407048172495,37.1505044215051,3.46818299729299,3.90183711676083,0.785307344695278,0,0,0,16.5923157141974,19.565177893474,0,0,0
20,13491.5649016901,31716.2459601078,139.96122541824,5.66542509676881,6.68407048172393,37.1505044215073,3.47710258349183,3.9056254673027,0.790682475445749,0,0,0,16.6108274446649,19.5426699537312,0,0,0
20.1,13513.2639092787,31735.6494597757,140.16616263469,5.66542509676795,6.68407048172315,37.1505044215089,3.48603331060238,3.90946500148247,0.797057214089501,0,0,0,16.6288941881062,19.5196158027596,0,0,0
20.2,13534.9317224464,31755.0679912889,140.371792595534,5.66542509676731,6.68407048172255,37.1505044215101,3.49493316883632,3.91325248299177,0.799839705626952,0,0,0,16.6477135147233,19.4973212402042,0,0,0
20.3,13556.5701988573,31774.5033134042,140.579905633081,5.66542509676681,6.6840704817221,37.1505044215111,3.50377126678936,3.91689811270595,0.797419055595484,0,0,0,16.6681497467977,19.4768225814591,0,0,0
20.4,13578.1804947837,31793.9563966733,140.789613043349,5.66542509676643,6.68407048172175,37.1505044215118,3.51256817796798,3.92044299540209,0.793902219759926,0,0,0,16.6894557833094,19.4574390080645,0,0,0
20.5,13599.7631241263,31813.4275546859,140.999999262424,5.66542509676615,6.68407048172149,37.1505044215124,3.52133869535503,3.92393613923181,0.790551589889819,0,0,0,16.711023670547,19.4385429418915,0,0,0
20.6,13621.3181752638,31832.9167045748,141.210395223188,5.66542509676593,6.68407048172129,37.1505044215127,3.53009354393727,3.92741572773747,0.787893740090158,0,0,0,16.7324951354859,19.419719585065,0,0,0
20.7,13642.845469962,31852.4235386474,141.4203361963,5.66542509676577,6.68407048172114,37.1505044215131,3.5388404762247,3.93090814337255,0.786181635382746,0,0,0,16.7536717346901,19.4007100782206,0,0,0
20.8,13664.3446632069,31871.947623364,141.629499146119,5.66542509676564,6.68407048172102,37.1505044215133,3.54758514915841,3.93443087911528,0.785543059249482,0,0,0,16.7744451145173,19.3813532978227,0,0,0
20.9,13685.8153055232,31891.4884564849,141.837657957091,5.66542509676555,6.68407048172094,37.1505044215135,3.55633173686058,3.93799521529613,0.786038798691735,0,0,0,16.7947578549139,19.3615489568334,0,0,0
21,13707.2568834188,31911.0455015637,142.044654754124,5.66542509676548,6.68407048172088,37.1505044215136,3.5650833308071,3.94160809185977,0.787688804782677,0,0,0,16.8145826893362,19.3412361302608,0,0,0
21.1,13728.6688470405,31930.6182100014,142.250381660787,5.66542509676542,6.68407048172082,37.1505044215138,3.57384219980372,3.94527334868097,0.790485484299754,0,0,0,16.8339113052343,19.3203807252169,0,0,0
21.2,13750.0506300513,31950.2060359407,142.454768845219,5.66542509676538,6.68407048172079,37.1505044215138,3.58260996418522,3.94899255279553,0.794401347656306,0,0,0,16.8527480106952,19.2989678786339,0,0,0
21.3,13771.401664493,31969.8084467561,142.65777630285,5.66542509676535,6.68407048172076,37.1505044215139,3.59138771831055,3.95276556610065,0.799393999838687,0,0,0,16.8711059002141,19.2769970637346,0,0,0
21.4,13792.7213921812,31989.4249306286,142.859387881014,5.66542509676533,6.68407048172074,37.1505044215139,3.60017612135056,3.9565909491896,0.80540978973237,0,0,0,16.8890043402625,19.2544787132626,0,0,0
21.5,13814.0097150295,32009.0554253953,143.060294978971,5.66542509676531,6.68407048172072,37.150504421514,3.60896127124709,3.96043260846524,0.810881406181041,0,0,0,16.9068568940772,19.2318590231959,0,0,0
21.6,13835.2687066045,32028.7019330178,143.26391417885,5.6654250967653,6.68407048172071,37.150504421514,3.61767581242477,3.96412293342933,0.809082855638307,0,0,0,16.9265600747375,19.2112422911577,0,0,0
21.7,13856.4997840432,32048.3656874227,143.469467210903,5.66542509676529,6.6840704817207,37.150504421514,3.62634252456055,3.96769458321098,0.805578015482624,0,0,0,16.947378506858,19.1919948670196,0,0,0
21.8,13877.7036434904,32068.0471661001,143.675955536563,5.66542509676529,6.6840704817207,37.1505044215141,3.63497782955071,3.9711993253781,0.801996393904531,0,0,0,16.9686075213953,19.1734121804544,0,0,0
