weld_number,segment_id,peak_source_c,peak_bore_c,cooling_dt_s
1,1,561.7548425850615,150.21646020144482,0.6666666666666666
2,4,561.5867423769181,155.05433130512395,0.6666666666666666
3,3,542.0234583466362,162.8067885470006,0.6666666666666666
4,6,544.6102346357975,168.4912442100196,0.6666666666666666
5,2,540.56861342235,172.4980445121956,0.6666666666666666
6,5,540.4500327344634,178.54081139316543,0.6666666666666666
