material,peak_temperature_c,max_cooling_rate_c_s,t8_5_median_s,white_cast_iron_risk,hardening_risk,crack_risk
QT450-10,390.98751474345363,23.313453593242457,1.9562516475713778,Medium,High,Medium
Q235B,496.8099932492712,36.21516685468805,,not_applicable,Medium,not_scored
