candidate_id,deposition_efficiency,deposited_area_mm2,equivalent_leg_mm,retained_filler_mass_g,load_scale,assumed_allowable_mpa,required_allowable_mpa,conditional_margin,conditional_capacity_screen_pass,net_heat_input_j,arc_on_time_s,evidence_level
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,0.5,60.0,13.072658973450801,4.5897319070170575,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,0.5,90.0,13.072658973450801,6.884597860525587,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,0.5,120.0,13.072658973450801,9.179463814034115,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.0,60.0,26.145317946901603,2.2948659535085287,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.0,90.0,26.145317946901603,3.4422989302627935,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.0,120.0,26.145317946901603,4.5897319070170575,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.5,60.0,39.217976920352406,1.5299106356723526,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.5,90.0,39.217976920352406,2.2948659535085287,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,0.85,1.2817698026646356,1.6011057445806856,4.951641482703312,1.5,120.0,39.217976920352406,3.0598212713447053,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,0.5,60.0,12.052396058075848,4.97826321927052,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,0.5,90.0,12.052396058075848,7.46739482890578,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,0.5,120.0,12.052396058075848,9.95652643854104,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.0,60.0,24.104792116151696,2.48913160963526,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.0,90.0,24.104792116151696,3.73369741445289,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.0,120.0,24.104792116151696,4.97826321927052,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.5,60.0,36.15718817422754,1.6594210730901735,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.5,90.0,36.15718817422754,2.4891316096352605,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/1pass,1.0,1.5079644737231008,1.7366430109398425,5.825460567886251,1.5,120.0,36.15718817422754,3.318842146180347,True,155467.3673296674,314.07548955488363,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,0.5,60.0,6.486440525898101,9.250065542178467,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,0.5,90.0,6.486440525898101,13.875098313267701,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,0.5,120.0,6.486440525898101,18.500131084356934,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.0,60.0,12.972881051796202,4.625032771089233,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.0,90.0,12.972881051796202,6.9375491566338505,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.0,120.0,12.972881051796202,9.250065542178467,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.5,60.0,19.459321577694304,3.0833551807261554,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.5,90.0,19.459321577694304,4.625032771089233,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,0.85,5.20625,3.2268405600525103,20.11241286518989,1.5,120.0,19.459321577694304,6.166710361452311,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,0.5,60.0,5.980202679810381,10.033104764586753,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,0.5,90.0,5.980202679810381,15.04965714688013,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,0.5,120.0,5.980202679810381,20.066209529173506,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.0,60.0,11.960405359620761,5.016552382293376,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.0,90.0,11.960405359620761,7.524828573440065,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.0,120.0,11.960405359620761,10.033104764586753,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.5,60.0,17.94060803943114,3.3443682548622515,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.5,90.0,17.94060803943114,5.016552382293377,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
Continuous/4pass,1.0,6.125,3.5,23.661662194341044,1.5,120.0,17.94060803943114,6.688736509724503,True,621869.4693186696,1256.3019582195345,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,0.5,60.0,57.02502453986956,1.0521696480472438,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,0.5,90.0,57.02502453986956,1.5782544720708658,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,0.5,120.0,57.02502453986956,2.1043392960944876,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.0,60.0,114.05004907973913,0.5260848240236219,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.0,90.0,114.05004907973913,0.7891272360354329,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.0,120.0,114.05004907973913,1.0521696480472438,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.5,60.0,171.0750736196087,0.3507232160157479,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.5,90.0,171.0750736196087,0.5260848240236219,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.1351353372398,1.5,120.0,171.0750736196087,0.7014464320314958,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,0.5,60.0,52.57447489235453,1.1412382172689146,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,0.5,90.0,52.57447489235453,1.711857325903372,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,0.5,120.0,52.57447489235453,2.2824764345378292,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.0,60.0,105.14894978470906,0.5706191086344573,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.0,90.0,105.14894978470906,0.855928662951686,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.0,120.0,105.14894978470906,1.1412382172689146,True,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.5,60.0,157.72342467706358,0.38041273908963824,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.5,90.0,157.72342467706358,0.5706191086344574,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.3354533379291766,1.5,120.0,157.72342467706358,0.7608254781792765,False,35639.99999999997,71.99999999999993,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,0.5,60.0,28.294888661667855,2.120524336301215,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,0.5,90.0,28.294888661667855,3.1807865044518224,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,0.5,120.0,28.294888661667855,4.24104867260243,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.0,60.0,56.58977732333571,1.0602621681506075,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.0,90.0,56.58977732333571,1.5903932522259112,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.0,120.0,56.58977732333571,2.120524336301215,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.5,60.0,84.88466598500356,0.7068414454337383,False,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.5,90.0,84.88466598500356,1.0602621681506075,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,4.610654999999995,1.5,120.0,84.88466598500356,1.4136828908674766,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,0.5,60.0,26.086598393039925,2.300031575447123,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,0.5,90.0,26.086598393039925,3.4500473631706843,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,0.5,120.0,26.086598393039925,4.600063150894246,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.0,60.0,52.17319678607985,1.1500157877235615,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.0,90.0,52.17319678607985,1.7250236815853421,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.0,120.0,52.17319678607985,2.300031575447123,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.5,60.0,78.25979517911978,0.7666771918157076,False,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.5,90.0,78.25979517911978,1.1500157877235613,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
6P-FAIR_B/4pass,1.0,6.125,3.5,5.424299999999994,1.5,120.0,78.25979517911978,1.5333543836314152,True,142559.99999999988,287.9999999999997,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,0.5,60.0,42.76876840490211,1.4028928640629938,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,0.5,90.0,42.76876840490211,2.1043392960944907,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,0.5,120.0,42.76876840490211,2.8057857281259877,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.0,60.0,85.53753680980422,0.7014464320314969,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.0,90.0,85.53753680980422,1.0521696480472453,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.0,120.0,85.53753680980422,1.4028928640629938,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.5,60.0,128.30630521470633,0.46763095468766464,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.5,90.0,128.30630521470633,0.7014464320314969,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,0.85,1.2817698026646356,1.6011057445806856,1.5135137829864023,1.5,120.0,128.30630521470633,0.9352619093753293,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,0.5,60.0,39.43085616926584,1.5216509563585552,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,0.5,90.0,39.43085616926584,2.2824764345378328,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,0.5,120.0,39.43085616926584,3.0433019127171104,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.0,60.0,78.86171233853167,0.7608254781792776,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.0,90.0,78.86171233853167,1.1412382172689164,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.0,120.0,78.86171233853167,1.5216509563585552,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.5,60.0,118.29256850779751,0.5072169854528518,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.5,90.0,118.29256850779751,0.7608254781792776,False,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/1pass,1.0,1.5079644737231008,1.7366430109398425,1.780604450572238,1.5,120.0,118.29256850779751,1.0144339709057035,True,47520.00000000003,96.00000000000004,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,0.5,60.0,21.221166496250856,2.827365781734958,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,0.5,90.0,21.221166496250856,4.241048672602437,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,0.5,120.0,21.221166496250856,5.654731563469916,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.0,60.0,42.44233299250171,1.413682890867479,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.0,90.0,42.44233299250171,2.1205243363012185,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.0,120.0,42.44233299250171,2.827365781734958,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.5,60.0,63.663499488752564,0.9424552605783194,False,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.5,90.0,63.663499488752564,1.413682890867479,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,0.85,5.20625,3.2268405600525103,6.147540000000002,1.5,120.0,63.663499488752564,1.8849105211566388,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,0.5,60.0,19.56494879477991,3.0667087672628357,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,0.5,90.0,19.56494879477991,4.600063150894254,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,0.5,120.0,19.56494879477991,6.133417534525671,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.0,60.0,39.12989758955982,1.5333543836314178,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.0,90.0,39.12989758955982,2.300031575447127,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.0,120.0,39.12989758955982,3.0667087672628357,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.5,60.0,58.694846384339726,1.0222362557542786,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.5,90.0,58.694846384339726,1.5333543836314178,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
8P-FAIR_B/4pass,1.0,6.125,3.5,7.232400000000003,1.5,120.0,58.694846384339726,2.044472511508557,True,190080.00000000012,384.00000000000017,design_assumption_reference_envelope
