time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
0.1,49.5,4.82046775052839,0,44.6795322505568,-1.08519060404433e-09,0.918750000024629,149.887937627549,400.394893244299
0.2,99,9.67983999994789,0,89.3201600013199,-1.2677787708526e-09,1.83750000004928,149.818106091321,620.888641152953
0.3,148.5,14.5799185297875,0,133.9200814715,-1.28795818454819e-09,2.75625000007391,149.763803596244,779.759591788609
0.4,198,19.5222750408401,0,178.477724960459,-1.29958266370522e-09,3.67500000009856,149.71787118185,894.612806512723
0.5,247.5,24.5078456948189,0,222.992154306492,-1.31086608234909e-09,4.59375000012319,149.677285410575,982.150109053708
0.6,297,29.5371042914795,0,267.462895709832,-1.31160504679428e-09,5.51250000014782,149.640445842262,1051.17515423908
0.7,346.5,34.6102200509849,0,311.889779950325,-1.30967237055302e-09,6.43125000017247,149.606392470509,1107.11769616494
0.8,396,39.7271696536304,0,356.272830347683,-1.31376509671099e-09,7.3500000001971,149.574499444907,1153.52687427261
0.9,445.5,44.8876641319683,0,400.612335869359,-1.32678223963012e-09,8.26875000022175,149.544333122692,1192.75990016757
1,495,50.091417698758,0,444.908582302574,-1.33240973809734e-09,9.18750000024637,149.515578763681,1226.44077545312
1.1,544.5,55.3381626950716,0,489.161837306252,-1.32365585159278e-09,10.106250000271,149.48799956569,1255.99548126092
1.2,594,60.6277086406507,0,533.372291360683,-1.33411504066316e-09,11.0250000002957,149.461412301644,1282.05589660086
1.3,643.5,65.9598590028108,0,577.540140998521,-1.33138655655785e-09,11.9437500003203,149.435672057035,1305.13253111116
1.4,693,71.2739114517236,0,621.726088549636,-1.35969457915053e-09,12.8625000003449,149.410662226861,1339.66796042373
1.5,742.5,76.6693653643025,0,665.830634637059,-1.3616272553918e-09,13.7812500003696,149.386287692335,1370.73598429161
1.6,792,82.103077810753,0,709.896922217282,-2.80348331216373e-08,14.7000000003942,149.362469999202,1385.29324168861
1.7,841.5,87.5759049627401,0,753.924095065297,-2.80367657978786e-08,15.6187500004188,149.339143844084,1394.27208332295
1.8,891,93.0857364198143,0,797.914263608225,-2.80393805951462e-08,16.5375000004435,149.31625444607,1403.67928081051
1.9,940.5,98.6321806794271,0,841.867819348612,-2.80391532214708e-08,17.4562500004681,149.293755537204,1412.50987704476
2,990,104.214923895043,0,885.78507613299,-2.8033355192747e-08,18.3750000004927,149.271607798581,1420.20917839488
2.1,1039.5,109.83362932076,0,929.666370707273,-2.80329004453961e-08,19.2937500005174,149.249777625696,1426.47229551872
2.2,1089,115.487920071996,0,973.512079956039,-2.80350604953128e-08,20.212500000542,149.228236142487,1431.14058713027
2.3,1138.5,121.177371489924,0,1017.32262853811,-2.80331278190715e-08,21.1312500005667,149.206958406745,1434.14354249555
2.4,1188,126.901510494605,0,1061.09848953343,-2.80308540823171e-08,22.0500000005913,149.18592276496,1435.46559303949
2.5,1237.5,132.659833761646,0,1104.84016626638,-2.80283529718872e-08,22.9687500006159,149.165110325327,1435.12482913709
