  1.000000000000000E-01   1.481245609190711E+02
  2.000000000000000E-01   1.463543098946649E+02
  3.000000000000000E-01   1.446806394318031E+02
  4.000000000000000E-01   1.430958556126943E+02
  5.000000000000000E-01   1.415930606094637E+02
  6.000000000000000E-01   1.401660523161132E+02
  7.000000000000000E-01   1.388092387918417E+02
  7.999999999999999E-01   1.375175650269321E+02
  8.999999999999999E-01   1.362864500091481E+02
  9.999999999999999E-01   1.351117324391062E+02
  1.100000000000000E+00   1.339896237389405E+02
  1.200000000000000E+00   1.329166672361112E+02
  1.300000000000000E+00   1.318897025959226E+02
  1.400000000000000E+00   1.309058347318322E+02
  1.500000000000000E+00   1.299624065493734E+02
  1.600000000000000E+00   1.290569749833006E+02
  1.700000000000000E+00   1.281872898728936E+02
  1.800000000000000E+00   1.273512752908404E+02
  1.900000000000001E+00   1.265470129995368E+02
  2.000000000000000E+00   1.257727277572727E+02
  2.100000000000001E+00   1.250267742373940E+02
  2.200000000000001E+00   1.243076253575811E+02
  2.300000000000001E+00   1.236138618450280E+02
  2.400000000000001E+00   1.229441628874789E+02
  2.500000000000001E+00   1.222972977405405E+02
  2.600000000000001E+00   1.216721181790679E+02
  2.700000000000001E+00   1.210675516952151E+02
  2.800000000000001E+00   1.204825953583861E+02
  2.900000000000001E+00   1.199163102631374E+02
  3.000000000000001E+00   1.193678165003832E+02
  3.100000000000001E+00   1.188362885952471E+02
  3.200000000000002E+00   1.183209513618128E+02
  3.300000000000002E+00   1.178210761309916E+02
  3.400000000000002E+00   1.173359773129056E+02
  3.500000000000002E+00   1.168650092596803E+02
  3.600000000000002E+00   1.164075633984594E+02
  3.700000000000002E+00   1.159630656078702E+02
  3.800000000000002E+00   1.155309738141593E+02
  3.900000000000002E+00   1.151107757858342E+02
  4.000000000000002E+00   1.147019871079470E+02
  4.100000000000001E+00   1.147019871079470E+02
  4.200000000000001E+00   1.147019871079470E+02
