time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.003,150.0,150.0,150.0,150.0,149.99750099205338
0.501,149.9999650011645,149.99979605445168,149.9932492704152,149.92449429711866,149.85873723726908
1.002,149.99802051841064,149.99571800045027,149.968241747536,149.85411321873207,149.7810311612262
1.5,149.9897158672219,149.98356625007338,149.93507559756424,149.79183287874747,149.71473358342044
2.001,149.97357115482103,149.9630102132886,149.89650277947442,149.73208612534245,149.6521944700741
2.5020000000000002,149.95080226194125,149.93576003359732,149.85417286038103,149.6741341264393,149.59229368330347
3.0,149.92375656357302,149.90435278355653,149.8102052084584,149.6193749543036,149.53637872871138
3.5010000000000003,149.89488306428012,149.8712732234383,149.76670108274158,149.56994827519972,149.48667139510272
4.002,149.86780801185415,149.84028686559697,149.72758017973615,149.53059165939757,149.4480963876444
4.5,149.84691609779205,149.81598163806652,149.69780028087928,149.50728772375618,149.4268425354922
5.001,149.83712345689352,149.80350922949117,149.68303070112333,149.50710893152313,149.43025930715206
5.502000000000001,149.84472334660308,149.80957449758134,149.69083109195347,149.5390955405578,149.46764992728907
6.0,149.87658830970372,149.84155459563223,149.72955549568667,149.61306489962556,149.54908520854218
6.501,149.9412706174238,149.9086601460413,149.809787073348,149.74191093222584,149.68787110366415
7.002000000000001,150.04800812532835,150.0209740700581,149.9431632551615,149.93926839639025,149.8979799616328
7.5,150.20634482023974,150.18903391792836,150.14196708422526,150.21938366245502,150.19396844648725
8.001,150.4302130084651,150.42826771248485,150.4244162984477,150.60419264721818,150.59841226876551
8.502,150.73284735536043,150.75365225943546,150.80836670692193,151.11453543637447,151.13262825952117
9.0,151.12745006653833,151.18053674474135,151.31258646382594,151.77146847965128,151.81794644586785
9.501,151.63752065546925,151.7360300258027,151.9700915509909,152.6140621672964,152.6944426396493
10.002,152.2827139824733,152.44389318715258,152.8110622438639,153.67518391358925,153.7951371248778
10.5,153.08329627206479,153.33009210957434,153.86967206481086,154.99045043968454,155.15558472486686
11.001000000000001,154.08022312399748,154.4449034244734,155.21087406423763,156.63039352466217,156.8467455939704
