x_mm,y_mm,z_mm
-21.334082534936336,-5.333156014356184,0.0
-21.33426049026047,-2.6664049790044633,0.0
-21.33429584274083,0.0002533013342491208,0.0
-21.33439463381843,2.6669050177548335,0.0
-21.33437396396917,5.333488128345581,0.0
-18.66737027356182,-10.666765914082337,0.0
-18.66735379129628,-7.999745672703222,0.0
-18.667522417977242,-5.332692916942825,0.0
-18.668197036843594,-2.6655743951491946,0.0
-18.66828356713843,0.0002886538146093141,0.0
-18.668384652037982,2.6670038088324346,0.0
-18.667818416881982,5.333092346988323,0.0
-18.667742479984224,8.000216324406473,0.0
-18.66776983222889,10.666787112886686,0.0
-16.000765700264925,-13.333384442576303,0.0
-16.00122439743492,-10.666227754096594,0.0
-16.001216346670237,10.666390508046872,0.0
-16.001182622818146,13.33348423246779,0.0
-13.334100350924876,-16.000068984621134,0.0
-13.334608348220675,-13.332888938830727,0.0
-13.334179230343446,13.333138863498505,0.0
-13.33449251364016,16.000142255973216,0.0
-10.667380494734944,-18.666822431580204,0.0
-10.667911059446118,-15.999640834609744,0.0
-10.6673888710041,16.000161789772235,0.0
-10.66776014600072,18.66671483570886,0.0
-8.001046034075536,-18.666874605207198,0.0
-8.001174615730188,18.666685074545818,0.0
-5.334328323422936,-21.333516492975015,0.0
-5.33474464645682,-18.666746498754904,0.0
-5.334038818970763,18.666768180328134,0.0
-5.3344197152653985,21.33332356130314,0.0
-2.667746981491664,-21.333378367061698,0.0
-2.66850842112865,-18.66613458634819,0.0
-2.6678834226484027,18.66734708605679,0.0
-2.6678174673582,21.333361289904193,0.0
-0.0010814187664669305,-21.333375065781436,0.0
-0.0010847200467312091,-18.666083675987835,0.0
-0.0011526124938539787,18.667278673903446,0.0
-0.0011506280283757012,21.33329533461399,0.0
2.6655852236716933,-21.333308451614073,0.0
2.665518609504333,-18.66601201067661,0.0
2.6647240667019063,18.667229536168023,0.0
2.6655179329592373,21.333293350148512,0.0
5.332314649233486,-21.333341071825018,0.0
5.3326805724065975,-18.666566954244768,0.0
5.331841895682692,18.66659108942756,0.0
5.332275603138382,21.33314923251646,0.0
7.998890352434613,-18.666642656636995,0.0
7.998893735224834,18.666456941472962,0.0
10.665636316845479,-18.666608432164104,0.0
10.665994196404748,-15.999831091736812,0.0
