  1.000000000000000E-01   1.482183797072928E+02
  2.000000000000000E-01   1.465309089546174E+02
  3.000000000000000E-01   1.449303831922191E+02
  4.000000000000000E-01   1.434103078969433E+02
  5.000000000000000E-01   1.419648144833053E+02
  6.000000000000000E-01   1.405885872501227E+02
  7.000000000000000E-01   1.392768002482873E+02
  7.999999999999999E-01   1.380250625441297E+02
  8.999999999999999E-01   1.368293706132049E+02
  9.999999999999999E-01   1.356860668111103E+02
  1.100000000000000E+00   1.345918030409470E+02
  1.200000000000000E+00   1.335435088789232E+02
  1.300000000000000E+00   1.325383635364255E+02
  1.400000000000000E+00   1.315737711334572E+02
  1.500000000000000E+00   1.306473388384461E+02
  1.600000000000000E+00   1.297568574961204E+02
  1.700000000000000E+00   1.289002844208654E+02
  1.800000000000000E+00   1.280757280796692E+02
  1.900000000000001E+00   1.272814344280297E+02
  2.000000000000000E+00   1.265157746953131E+02
  2.100000000000001E+00   1.257772344440677E+02
  2.200000000000001E+00   1.250644037515674E+02
  2.300000000000001E+00   1.243759683820809E+02
  2.400000000000001E+00   1.237107018356159E+02
  2.500000000000001E+00   1.230674581736412E+02
  2.600000000000001E+00   1.224451655349507E+02
  2.700000000000001E+00   1.218428202657029E+02
  2.800000000000001E+00   1.212594815970542E+02
  2.900000000000001E+00   1.206942668118928E+02
  3.000000000000001E+00   1.201463468491944E+02
  3.100000000000001E+00   1.196149423006029E+02
  3.200000000000002E+00   1.190993197591251E+02
  3.300000000000002E+00   1.185987884844233E+02
  3.400000000000002E+00   1.181126973532520E+02
  3.500000000000002E+00   1.176404320670431E+02
  3.600000000000002E+00   1.171814125917740E+02
  3.700000000000002E+00   1.167350908079398E+02
  3.800000000000002E+00   1.163009483508347E+02
  3.900000000000002E+00   1.158784946234476E+02
  4.000000000000002E+00   1.154672649661237E+02
  4.100000000000001E+00   1.154672649661237E+02
  4.200000000000001E+00   1.154672649661237E+02
