time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -3.641427216982684E-07,  3.641427216982684E-07,  2.500000000000000E-02,  2.000000000000000E+01,  1.500000000000000E+02
  2.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  4.698424294624637E-07, -4.698424294624637E-07,  5.000000000000000E-02,  1.999999999999999E+01,  1.500000000000000E+02
  3.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.321503994096030E-06, -2.321503994096030E-06,  7.500000000000001E-02,  1.999999999999999E+01,  1.500000000000001E+02
  4.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.036886713438715E-06, -5.036886713438715E-06,  1.000000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  5.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  8.484330143720964E-06, -8.484330143720964E-06,  1.250000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  6.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.255099532126991E-05, -1.255099532126991E-05,  1.500000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  7.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.713998256602789E-05, -1.713998256602789E-05,  1.750000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  7.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.216793084025559E-05, -2.216793084025559E-05,  2.000000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  8.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.756301105366621E-05, -2.756301105366621E-05,  2.250000000000000E-01,  1.999999999999999E+01,  1.500000000000001E+02
  9.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.326324294855576E-05, -3.326324294855576E-05,  2.500000000000000E-01,  2.000000000000000E+01,  1.500000000000002E+02
  1.100000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.921507879361963E-05, -3.921507879361963E-05,  2.750000000000000E-01,  1.999999999999999E+01,  1.500000000000002E+02
  1.200000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  4.537220789441188E-05, -4.537220789441188E-05,  3.000000000000000E-01,  1.999999999999999E+01,  1.500000000000002E+02
  1.300000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.169454450043576E-05, -5.169454450043576E-05,  3.250000000000000E-01,  2.000000000000000E+01,  1.500000000000002E+02
  1.400000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.814736855047631E-05, -5.814736855047631E-05,  3.500000000000000E-01,  2.000000000000000E+01,  1.500000000000002E+02
  1.500000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  6.470059420604635E-05, -6.470059420604635E-05,  3.750000000000001E-01,  2.000000000000000E+01,  1.500000000000002E+02
  1.600000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  7.132814555765865E-05, -7.132814555765865E-05,  4.000000000000001E-01,  1.999999999999999E+01,  1.500000000000002E+02
  1.700000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  7.800742249242099E-05, -7.800742249242099E-05,  4.250000000000001E-01,  1.999999999999999E+01,  1.500000000000002E+02
  1.800000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  8.471884261979090E-05, -8.471884261979090E-05,  4.500000000000001E-01,  1.999999999999999E+01,  1.500000000000002E+02
  1.900000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  9.144544754574602E-05, -9.144544754574602E-05,  4.750000000000001E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  9.817256372607330E-05, -9.817256372607330E-05,  5.000000000000001E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.100000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.048875097354185E-04, -1.048875097354185E-04,  5.250000000000001E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.200000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.115793431026857E-04, -1.115793431026857E-04,  5.500000000000002E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.300000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.182386409585567E-04, -1.182386409585567E-04,  5.750000000000002E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.400000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.248573096372940E-04, -1.248573096372940E-04,  6.000000000000002E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.500000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.314284191335502E-04, -1.314284191335502E-04,  6.250000000000002E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.600000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.379460589355230E-04, -1.379460589355230E-04,  6.500000000000002E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.700000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.444052122807071E-04, -1.444052122807071E-04,  6.750000000000003E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.800000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.508016463206419E-04, -1.508016463206419E-04,  7.000000000000003E-01,  2.000000000000000E+01,  1.500000000000002E+02
  2.900000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.571318160504820E-04, -1.571318160504820E-04,  7.250000000000003E-01,  2.000000000000000E+01,  1.500000000000002E+02
  3.000000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.633927801648061E-04, -1.633927801648061E-04,  7.500000000000003E-01,  2.000000000000000E+01,  1.500000000000002E+02
  3.100000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.695821272725273E-04, -1.695821272725273E-04,  7.750000000000004E-01,  2.000000000000000E+01,  1.500000000000002E+02
  3.200000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.756979111354195E-04, -1.756979111354195E-04,  8.000000000000004E-01,  2.000000000000000E+01,  1.500000000000002E+02
  3.300000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.817385936723759E-04, -1.817385936723759E-04,  8.250000000000004E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.400000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.877029949310383E-04, -1.877029949310383E-04,  8.500000000000004E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.500000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.935902489529351E-04, -1.935902489529351E-04,  8.750000000000004E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.600000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.993997648926937E-04, -1.993997648926937E-04,  9.000000000000005E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.700000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.051311927183663E-04, -2.051311927183663E-04,  9.250000000000005E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.800000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.107843929347597E-04, -2.107843929347597E-04,  9.500000000000005E-01,  1.999999999999999E+01,  1.500000000000001E+02
  3.900000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.163594098349431E-04, -2.163594098349431E-04,  9.750000000000005E-01,  1.999999999999999E+01,  1.500000000000002E+02
  4.000000000000002E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.218564478599361E-04, -2.218564478599361E-04,  1.000000000000000E+00,  1.999999999999999E+01,  1.500000000000002E+02
  4.100000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.218564478599916E-04, -2.218564478599916E-04,  1.000000000000000E+00,  1.999999999999999E+01,  1.500000000000002E+02
  4.200000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.218564478599916E-04, -2.218564478599916E-04,  1.000000000000000E+00,  1.999999999999999E+01,  1.500000000000002E+02
