step,time_s,birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,FE_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j
1,0.1,2.05e-07,2.04999918e-07,0,-3.64142721642757e-07,0,3.64142721642757e-07,3.64142721642757e-07
2,0.2,2.05e-07,2.05e-07,0,8.33985151216243e-07,0,-8.33985151216243e-07,-4.69842429573486e-07
3,0.3,2.05e-07,2.05e-07,0,1.85166156452254e-06,0,-1.85166156452254e-06,-2.32150399409603e-06
4,0.4,2.05e-07,2.05e-07,0,2.7153827193982e-06,0,-2.7153827193982e-06,-5.03688671349423e-06
5,0.5,2.05e-07,2.05e-07,0,3.44744343039327e-06,0,-3.44744343039327e-06,-8.4843301438875e-06
6,0.6,2.05e-07,2.05e-07,0,4.06666517749343e-06,0,-4.06666517749343e-06,-1.25509953213809e-05
7,0.7,2.05e-07,2.05e-07,0,4.58898724464696e-06,0,-4.58898724464696e-06,-1.71399825660279e-05
8,0.8,2.05e-07,2.05e-07,0,5.02794827417219e-06,0,-5.02794827417219e-06,-2.21679308402001e-05
9,0.9,2.05e-07,2.05e-07,0,5.39508021352164e-06,0,-5.39508021352164e-06,-2.75630110537217e-05
10,1,2.05e-07,2.05e-07,0,5.70023189483404e-06,0,-5.70023189483404e-06,-3.32632429485558e-05
11,1.1,2.05e-07,2.05e-07,0,5.95183584500836e-06,0,-5.95183584500836e-06,-3.92150787935641e-05
12,1.2,2.05e-07,2.05e-07,0,6.15712910095878e-06,0,-6.15712910095878e-06,-4.53722078945229e-05
13,1.3,2.05e-07,2.05e-07,0,6.32233660602388e-06,0,-6.32233660602388e-06,-5.16945445005468e-05
14,1.4,2.05e-07,2.05e-07,0,6.45282405004055e-06,0,-6.45282405004055e-06,-5.81473685505873e-05
15,1.5,2.05e-07,2.05e-07,0,6.55322565551453e-06,0,-6.55322565551453e-06,-6.47005942061019e-05
16,1.6,2.05e-07,2.05e-07,0,6.6275513516123e-06,0,-6.6275513516123e-06,-7.13281455577142e-05
17,1.7,2.05e-07,2.05e-07,0,6.67927693470682e-06,0,-6.67927693470682e-06,-7.8007422492421e-05
18,1.8,2.05e-07,2.05e-07,0,6.71142012748094e-06,0,-6.71142012748094e-06,-8.47188426199019e-05
19,1.9,2.05000000000002e-07,2.05000000000002e-07,0,6.72660492584409e-06,0,-6.72660492584409e-06,-9.1445447545746e-05
20,2,2.04999999999998e-07,2.04999999999998e-07,0,6.72711618032729e-06,0,-6.72711618032729e-06,-9.81725637260733e-05
21,2.1,2.05000000000002e-07,2.05000000000002e-07,0,6.71494600934519e-06,0,-6.71494600934519e-06,-0.000104887509735418
22,2.2,2.05e-07,2.05e-07,0,6.69183336721169e-06,0,-6.69183336721169e-06,-0.00011157934310263
23,2.3,2.05e-07,2.05e-07,0,6.65929785598207e-06,0,-6.65929785598207e-06,-0.000118238640958612
24,2.4,2.04999999999999e-07,2.04999999999999e-07,0,6.61866867862626e-06,0,-6.61866867862626e-06,-0.000124857309637239
25,2.5,2.05e-07,2.05e-07,0,6.57110949631168e-06,0,-6.57110949631168e-06,-0.00013142841913355
26,2.6,2.05e-07,2.05e-07,0,6.51763980197284e-06,0,-6.51763980197284e-06,-0.000137946058935523
27,2.7,2.05e-07,2.05e-07,0,6.45915334523961e-06,0,-6.45915334523961e-06,-0.000144405212280763
28,2.8,2.05e-07,2.05e-07,0,6.39643403993473e-06,0,-6.39643403993473e-06,-0.000150801646320697
29,2.9,2.04999999999999e-07,2.04999999999999e-07,0,6.33016972984013e-06,0,-6.33016972984013e-06,-0.000157131816050537
30,3,2.05e-07,2.05e-07,0,6.26096411432409e-06,0,-6.26096411432409e-06,-0.000163392780164862
31,3.1,2.05e-07,2.05e-07,0,6.18934710777674e-06,0,-6.18934710777674e-06,-0.000169582127272638
32,3.2,2.05000000000002e-07,2.05000000000002e-07,0,6.11578386289224e-06,0,-6.11578386289224e-06,-0.000175697911135531
33,3.3,2.05e-07,2.05e-07,0,6.04068253695633e-06,0,-6.04068253695633e-06,-0.000181738593672487
34,3.4,2.05e-07,2.05e-07,0,5.96440125860687e-06,0,-5.96440125860687e-06,-0.000187702994931094
35,3.5,2.05e-07,2.05e-07,0,5.88725402206336e-06,0,-5.88725402206336e-06,-0.000193590248953157
36,3.6,2.04999999999999e-07,2.04999999999999e-07,0,5.80951593959211e-06,0,-5.80951593959211e-06,-0.000199399764892749
37,3.7,2.05e-07,2.05e-07,0,5.73142782572811e-06,0,-5.73142782572811e-06,-0.000205131192718477
38,3.8,2.05e-07,2.05e-07,0,5.65320021639337e-06,0,-5.65320021639337e-06,-0.000210784392934871
39,3.9,2.05e-07,2.05e-07,0,5.57501690018336e-06,0,-5.57501690018336e-06,-0.000216359409835054
40,4,2.04999999999996e-07,2.04999999999996e-07,0,5.49703802493751e-06,0,-5.49703802493751e-06,-0.000221856447859992
41,4.1,0,0,0,0,0,0,-0.000221856447859992
42,4.2,0,0,0,0,0,0,-0.000221856447859992
