  1.000000000000000E-01   1.499373377521778E+02   1.499421678724142E+02   1.499611853995669E+02   1.499540862410068E+02   1.499777946018908E+02
  2.000000000000000E-01   1.498862712568273E+02   1.498967461161802E+02   1.499195435315426E+02   1.499169688353448E+02   1.499504971275174E+02
  3.000000000000000E-01   1.498448186777241E+02   1.498577508954203E+02   1.498812702245625E+02   1.498831342669609E+02   1.499220177967446E+02
  4.000000000000000E-01   1.498089162519171E+02   1.498229217696913E+02   1.498465265195998E+02   1.498514736213280E+02   1.498934485865752E+02
  5.000000000000000E-01   1.497763148245745E+02   1.497908890681698E+02   1.498146191388083E+02   1.498213232343565E+02   1.498651096926314E+02
  6.000000000000000E-01   1.497458197447180E+02   1.497607948894278E+02   1.497848834769233E+02   1.497922474053156E+02   1.498370802055716E+02
  7.000000000000000E-01   1.497167609854597E+02   1.497320954524082E+02   1.497568039956327E+02   1.497639655931483E+02   1.498093604105700E+02
  7.999999999999999E-01   1.496887367791992E+02   1.497044349625060E+02   1.497299987114959E+02   1.497362930413042E+02   1.497819260841502E+02
  8.999999999999999E-01   1.496614906401400E+02   1.496775717317512E+02   1.497041864026100E+02   1.497091032458388E+02   1.497547479030023E+02
  9.999999999999999E-01   1.496348501204131E+02   1.496513360736044E+02   1.496791589741839E+02   1.496823066270472E+02   1.497277986883557E+02
  1.100000000000000E+00   1.496086948550656E+02   1.496256059904150E+02   1.496547613639886E+02   1.496558385727741E+02   1.497010561145609E+02
  1.200000000000000E+00   1.495829390299440E+02   1.496002926849088E+02   1.496308774980164E+02   1.496296525492745E+02   1.496745036565165E+02
  1.300000000000000E+00   1.495575212577490E+02   1.495753315971872E+02   1.496074205396988E+02   1.496037159649973E+02   1.496481308608352E+02
  1.400000000000000E+00   1.495323984423155E+02   1.495506766568375E+02   1.495843260846679E+02   1.495780075875270E+02   1.496219333839533E+02
  1.500000000000000E+00   1.495075419015487E+02   1.495262964817019E+02   1.495615473679573E+02   1.495525158818936E+02   1.495959129772924E+02
  1.600000000000000E+00   1.494829348267151E+02   1.495021718026688E+02   1.495390518555772E+02   1.495272379212752E+02   1.495700774852590E+02
  1.700000000000000E+00   1.494585705759281E+02   1.494782936876643E+02   1.495168187994736E+02   1.495021786689294E+02   1.495444408735432E+02
  1.800000000000000E+00   1.494344515104000E+02   1.494546622976831E+02   1.494948374688047E+02   1.494773505029725E+02   1.495190232835535E+02
  1.900000000000001E+00   1.494105881865694E+02   1.494312860050286E+02   1.494731058598098E+02   1.494527729007622E+02   1.494938511020634E+02
  2.000000000000000E+00   1.493869987843611E+02   1.494081807603981E+02   1.494516297467929E+02   1.494284722269547E+02   1.494689570336282E+02
