time_s,H_q235_j,H_qt_j,H_weld_j,source_q235_j,source_qt_j,source_weld_j,loss_q235_j,loss_qt_j,loss_weld_j,birth_q235_j,birth_qt_j,birth_weld_j,weld_to_qt_j,weld_to_q235_j,mix_q235_j,mix_qt_j,mix_weld_j
18,13132.7922978831,31254.5842118605,131.273196172616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1,13155.0825352173,31273.655139269,131.493542747283,5.66542509727524,6.6840704821894,37.1505044205353,3.35897512187683,3.81592329621307,0.743590232831828,0,0,0,16.2027802245908,19.983787382825,2.07414045702102e-15,-7.57796249477104e-16,3.70080341358429e-17
18.2,13177.3393826448,31292.7470818817,131.713092420577,5.66542509716258,6.68407048208585,37.1505044207515,3.36802311504514,3.81952307634335,0.744114063525663,0,0,0,16.2273952091242,19.9594454692279,-3.22155575868294e-15,-3.1729637168497e-14,-4.28349789207971e-17
18.3,13199.5623973506,31311.859614526,131.931732234408,5.6654250970744,6.6840704820048,37.1505044209208,3.37708316920429,3.82317044905144,0.74555918656927,0,0,0,16.2516326134841,19.9346728015311,-5.40893164320408e-16,-9.21871805836079e-15,-7.81200421628063e-17
18.4,13221.7511127694,31330.9923095999,132.149389628364,5.66542509700546,6.68407048194145,37.1505044210532,3.38615777702001,3.82686900600418,0.747905299529284,0,0,0,16.2754936000662,19.9094481220853,-7.70772569897658e-15,-7.80474855190678e-15,-5.59858205539653e-17
18.5,13243.9050578466,31350.1447489665,132.366023007407,5.66542509695166,6.68407048189199,37.1505044211563,3.39524848258422,3.83062014723105,0.751113517140995,0,0,0,16.2989890339063,19.88376848575,-6.28196532556554e-16,-1.11994000637925e-14,3.95026255748456e-17
18.6,13266.0237713865,31369.3165323676,132.581615161397,5.66542509690971,6.68407048185344,37.1505044212368,3.40435608428142,3.83442362106282,0.7551311699409,0,0,0,16.3221365423266,19.8576445497629,-7.37763717118981e-15,7.88308478185858e-15,-5.95497778539867e-17
18.7,13288.1068130183,31388.5072835417,132.796168462382,5.66542509687706,6.68407048182342,37.1505044212995,3.41348078018831,3.83827790856123,0.759895175185039,0,0,0,16.3449586028378,19.8310973371747,-9.23361203713753e-15,-7.88069468401046e-15,1.83858427368897e-17
18.8,13310.1537716787,31407.7166547078,133.009701181687,5.66542509685167,6.68407048180009,37.1505044213482,3.42262227774711,3.84218050697156,0.765334643443002,0,0,0,16.3674811930612,19.8041558609834,-5.29541059354717e-15,-6.75946502359003e-14,2.143848992179e-16
18.9,13332.1664140658,31426.9462223928,133.224761048285,5.66542509683196,6.68407048178198,37.150504421386,3.43166170527759,3.84592244696951,0.765145886732211,0,0,0,16.3914196516715,19.7788790124786,-1.34271543684743e-15,-3.99233497514225e-15,-1.82363864203246e-16
19,13354.1462047861,31446.1970920556,133.441274033244,5.66542509681668,6.68407048176794,37.1505044214154,3.44062231400785,3.8495334740775,0.762670820581689,0,0,0,16.4163326567216,19.7549879551012,-2.11635432918091e-15,-5.26308697710521e-15,4.38637467573518e-17
19.1,13376.0938565483,31465.4696515354,133.658494093102,5.66542509680485,6.68407048175705,37.150504421438,3.44953908750979,3.85307800264772,0.759951580186146,0,0,0,16.4415670025405,19.7317657740099,-2.79249286831854e-14,7.05633114918441e-15,-4.97139915658004e-17
19.2,13398.0095914165,31484.7638896097,133.875844591664,5.6654250967957,6.68407048174865,37.1505044214556,3.45843293072616,3.85659974406642,0.757643854362693,0,0,0,16.4667673386515,19.7087427247073,7.16710977912772e-15,1.1587991802893e-14,-1.93450413752061e-18
19.3,13419.8933348418,31504.0795813033,134.092923310291,5.66542509678863,6.68407048174215,37.1505044214692,3.46731739123455,3.86012790906547,0.756040831601907,0,0,0,16.4917491229474,19.6856357429759,3.13585978187518e-15,-1.06431120778788e-14,-7.9794566742524e-17
19.4,13441.744832915,31523.4163864894,134.309452264161,5.66542509678319,6.68407048173715,37.1505044214797,3.47620159457957,3.8636818180985,0.755284343298685,0,0,0,16.5164165244966,19.6622745944569,1.18222533823919e-14,3.32024488366005e-14,-8.94750018942279e-18
19.5,13463.5637237012,31542.7739046901,134.525239556921,5.66542509677899,6.68407048173329,37.1505044214877,3.48509181829273,3.86727403917257,0.755437832137857,0,0,0,16.5407217602023,19.6385575310531,-3.14843978203172e-15,5.89032600053985e-15,-7.92048200529981e-17
19.6,13485.349582694,31562.1517074785,134.740154320166,5.66542509677576,6.68407048173032,37.1505044214939,3.49399239924817,3.87091244798742,0.756518577764563,0,0,0,16.5646447567626,19.6144263184477,-2.80739932470124e-14,-1.09899042949014e-13,1.37661382774545e-17
