weld_number,segment_id,peak_source_c,peak_bore_c,cooling_dt_s
1,1,455.10680132500283,150.1271643201945,0.6666666666666666
2,2,449.5105233574197,153.6036660877741,0.6666666666666666
3,3,454.5964904091531,159.8482679699405,0.6666666666666666
4,4,455.2366953397686,166.94669797362533,0.6666666666666666
5,5,449.4252080789004,173.3620109995425,0.6666666666666666
6,6,462.41298395866147,178.5451806760608,0.6666666666666666
