filename,dx_error_mm,dy_error_mm,theta_error_deg
sample_0000.png,-1.7053069969018302,2.3016103208065033,-2.2744558575506417
sample_0001.png,-1.769561767578125,2.296981771787008,-2.6152892015610076
sample_0002.png,-1.7909698486328125,2.3669942220052085,-2.1933184359710785
sample_0003.png,-1.8824869791666665,2.4828135172526045,-2.8704836389888806
sample_0004.png,-1.9117838939030967,2.376983642578125,-2.789724125510248
sample_0005.png,-1.7303619186083474,2.387858072916667,-2.384495283784764
sample_0006.png,-1.664184550444285,2.2159016529719033,-2.331723505715316
sample_0007.png,-1.6852162281672158,2.3115234275658927,-2.612119478866939
sample_0008.png,-1.6621500651041665,2.269877125819524,-1.982087808126641
sample_0009.png,-1.7363382875919342,2.3801829020182295,-2.1866942544526298
sample_0010.png,-1.8326873977979024,2.4169108271598816,-2.275199317625238
sample_0011.png,-1.9058736562728882,2.366338094075521,-2.217556869520637
sample_0012.png,-1.8867238759994507,2.3514556884765625,-2.7347899560841364
sample_0013.png,-1.6193389495213828,2.1946665048599243,-2.4685859922774576
sample_0014.png,-1.741302490234375,2.262517293294271,-2.4514347084049453
sample_0015.png,-1.7252756555875144,2.339853912591934,-2.3116849717573684
sample_0016.png,-1.6558125615119934,2.212493896484375,-2.5108612754890363
sample_0017.png,-1.7539978126684825,2.268778443336487,-2.6476740052181356
sample_0018.png,-1.733373006184896,2.4131215810775757,-2.638607652375143
sample_0019.png,-1.8863016764322915,2.510548949241638,-3.0691152540165136
sample_0020.png,-1.627660115559896,2.193852722644806,-2.2347587801526294
sample_0021.png,-1.765284240245819,2.2786966959635415,-2.5924756001029774
sample_0022.png,-1.8140360713005066,2.406417866547902,-2.2504031585515394
sample_0023.png,-1.6688740849494934,2.237558980782827,-2.107738776403368
sample_0024.png,-1.8689880470434825,2.514933307965596,-2.651685018476795
sample_0025.png,-1.7906341552734375,2.3006490071614585,-2.0887699342016086
sample_0026.png,-1.7367451588312783,2.43469242254893,-2.556824450338612
sample_0027.png,-1.73699951171875,2.264801025390625,-2.061389318305072
sample_0028.png,-1.7608490188916524,2.271489461263021,-2.506795477325369
sample_0029.png,-1.6916452944278717,2.285410573085149,-2.0685869100267675
sample_0030.png,-1.8522847493489585,2.4478708902994795,-2.242397120149409
sample_0031.png,-1.7803751528263092,2.426717122395833,-2.7504878371734045
sample_0032.png,-1.754175841808319,2.270879089832306,-2.456271162713888
sample_0033.png,-1.9761759837468467,2.5140991409619646,-2.9413452844175434
sample_0034.png,-1.6788126230239868,2.3003133038679757,-2.569194454066947
sample_0035.png,-1.7598826189835866,2.277618408203125,-2.1902724576008605
sample_0036.png,-1.7853952944278717,2.451863646507263,-2.721713101688094
sample_0037.png,-2.0034230947494507,2.5636444091796875,-2.9281614641898517
sample_0038.png,-1.661504089832306,2.2244211435317993,-2.33994393160324
sample_0039.png,-1.7587483922640483,2.2701924641927085,-2.615575249564518
sample_0040.png,-1.6328328053156533,2.2105356454849243,-2.240867350180763
sample_0041.png,-1.9818420807520547,2.5274454951286316,-2.8355413133869205
sample_0042.png,-1.8092193603515625,2.409947733084361,-2.8532358478767543
sample_0043.png,-1.764322926600774,2.289377808570862,-2.3410944640729
sample_0044.png,-1.6642354130744934,2.2197977701822915,-2.1185352390438537
sample_0045.png,-1.7173766692479453,2.380513509114583,-2.208835179426459
sample_0046.png,-1.7906952102979024,2.3478698829809823,-2.1692793995602457
sample_0047.png,-1.6715647180875144,2.234202047189077,-2.0810776357860963
sample_0048.png,-1.8161010841528575,2.408289611339569,-2.428330053472628
sample_0049.png,-1.9498850901921592,2.464467376470566,-2.649988599632154
sample_0050.png,-1.9899902741114297,2.5130309959252677,-2.61837266696807
sample_0051.png,-1.6797586977481842,2.2759348650773363,-2.080818673973801
sample_0052.png,-1.6510467131932578,2.2729695638020835,-2.0392021991133307
sample_0053.png,-1.665842672189077,2.227686564127604,-2.2907852129272976
sample_0054.png,-1.8557637532552083,2.4933217763900757,-2.9849225101765997
sample_0055.png,-1.9662526845932007,2.4816182454427085,-2.141299719229
sample_0056.png,-1.6699015200138092,2.217625935872396,-1.8296162609561257
sample_0057.png,-1.7102609872817993,2.377309163411458,-2.304735920460514
sample_0058.png,-1.812418629725774,2.378692626953125,-2.5994521380964715
sample_0059.png,-1.7033029794692993,2.3671925862630205,-2.1432510466019306
sample_0060.png,-1.8097839554150899,2.3953145543734236,-2.2722291276472975
sample_0061.png,-2.0350952545801797,2.626861612002055,-2.8559344063740646
sample_0062.png,-1.7545267740885417,2.2809346318244934,-2.598385222627658
sample_0063.png,-1.6983845829963684,2.3044433693091078,-2.164842274698673
sample_0064.png,-1.746409108241399,2.2633870045344033,-2.072029358633979
sample_0065.png,-1.6915893157323203,2.3313598533471427,-2.4562918979219295
sample_0066.png,-1.8093109130859375,2.4144592483838396,-2.9083812319146762
sample_0067.png,-1.6434325774510703,2.217295289039612,-1.91538598913366
sample_0068.png,-1.7662811279296875,2.2701517740885415,-1.8645023600971289
sample_0069.png,-1.6198577880859375,2.184672017892202,-2.253064125730656
sample_0070.png,-1.6466573079427085,2.2171783248583474,-1.9035453665651962
sample_0071.png,-1.8470764557520547,2.331003785133362,-2.5495150548390026
sample_0072.png,-1.7138976951440177,2.3108520607153578,-2.202822997782204
sample_0073.png,-1.809641530116399,2.3762969970703125,-2.730322113558434
sample_0074.png,-1.7007344166437783,2.351872781912486,-2.7494875460663666
sample_0075.png,-1.8561197916666665,2.435887674490611,-2.922036620490373
sample_0076.png,-1.6558735966682434,2.212992310523987,-1.915476795010588
sample_0077.png,-1.8836263020833335,2.483734130859375,-2.836543166769067
sample_0078.png,-1.7086486717065177,2.3016255696614585,-2.257690654820456
sample_0079.png,-1.7018229166666665,2.355845133463542,-2.796812359151053
sample_0080.png,-1.9539439280827842,2.4646402994791665,-2.771739233463712
sample_0081.png,-1.65057373046875,2.2184906005859375,-2.3615774447176334
sample_0082.png,-2.0072123606999717,2.5741729736328125,-3.0220260469635467
sample_0083.png,-1.6562398076057434,2.218470255533854,-2.47674199535299
sample_0084.png,-1.8756510416666665,2.475667317708333,-2.177460351579697
sample_0085.png,-1.77249143520991,2.451436400413513,-2.960796082682015
sample_0086.png,-1.7183125615119934,2.3488668004671736,-2.403270566226121
sample_0087.png,-1.8608856201171875,2.4607391357421875,-2.6045250265831106
sample_0088.png,-1.9758911530176797,2.519058247407277,-2.2828171851337054
